Year,Month,State,District,Serial Number,Station Code,Station Name,DO (mg/L),pH,Conductivity (µS/cm),BOD (mg/L),Nitrate (mg/L),Turbidity (NTU),Chloride (mg/L),COD (mg/L),Ammonia  (mg/L),TDS (mg/L),Temperature
2023,January,Telangana,Medchal Malkajgiri,133,4676,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (M),  Medchal- Malkajgiri (D)",0.3,7.87,1475,12,3.2,21,188,139,3.88,898,25
2023,January,Telangana,Medchal Malkajgiri,134,4677,"Lingam Cheruvu, Suraram (V), Quthubullapur(M), Medchal-Malkajgiri District",0.3,7.6,1633,9,3.2,21,230,87,3.84,996,25
2023,January,Telangana,Rangareddy,135,4678,"Patel Cheruvu, Nacharam (V), Uppal (new Mandal), Medchal- malkajigiri",0.3,8.17,1265,12,3.8,15,142,135,1.98,796,25
2023,January,Telangana,Rangareddy,136,4679,"Bomrukud-Dowla Lake(HUDA Park Lake ), Bumruknudowla (V), Rajendranagar (M), Rangareddy (D)",0.3,8.21,2316,14,4.9,20,341,152,3.62,1412,25
2023,January,Telangana,Warangal,137,4683,"Pedda Cheruvu, Madikonda (V),  Khazipet (M), Hanumakonda, Warangal",5.2,8.05,776,4,2.8,5.2,100,40,0.96,486,25
2023,January,Telangana,Sangareddy,138,4684,"Campus Lake, ICRISAT, Kachireddi Pally (V), Ramachandrapuram (M),Sangareddy District",6.5,8.25,617,4.5,10,5.2,62,50,0.4,337,25
2023,January,Telangana,Sangareddy,139,4685,"Surisigal Lake, ICRISAT, Ramachandrapuram (V&M), Sangareddy District",5.6,8.32,900,3.4,20,4,101,38,0.4,541,25
2023,January,Telangana,Sangareddy,140,4686,"ICRISAT Lake,ICRISAT, Manmole (V), Ramachandrapuram (M), Sangareddy District",8,8.23,875,4.3,18,5,86,48,0.4,476,25
2023,January,Telangana,Sangareddy,141,4687,"Red Lake, ICRISAT, Ramachandrapuram (M), Sangareddy District",4.8,7.83,1074,5.6,30,6.4,181,62,0.4,640,25
2023,January,Telangana,Hyderabad,142,4689,"Sunnam Kunta, Jubille Hills, Hyderabad",1.8,7.01,427,5.4,1.8,24,49,51,0.4,260,25
2023,January,Telangana,Hyderabad,143,4690,"Banjara Kunta (Singadi Kunta), Shaikpet (V&M), Hyderabad (D)",0.3,7.69,993,6.4,3.3,11,145,78,1.54,616,25
2023,January,Telangana,RR-shamshabad,144,4691,"Nagole Cheruvu, Uppal, Medchal - Malkajgiri District",0.3,7.81,1269,10.8,4.6,26,138,103,1.12,798,25
2023,January,Telangana,Medchal Malkajgiri,145,4692,"Ramanthapur Pedda Cheruvu, Ramanthapur, Medchal - Malkajgiri District",0.3,7.58,966,14,3.4,8,137,206,1.28,578,25
2023,January,Telangana,Medchal Malkajgiri,149,4696,"Parki Cheruvu, Kukatpally (V&M), Medchal-Malkajgiri (D)",1.8,7.39,1569,5.6,3.8,17,167,52,1.32,958,25
2023,January,Telangana,Medchal Malkajgiri,151,4698,"Mannevari Kunta, Machabollaram (V), Alwal (M), Medchal-Malkajgiri (D)",0.3,8.2,1673,8,3.6,7.6,220,84,1.84,1036,25
2023,January,Telangana,RR-shamshabad,152,4699,"Kaprai Cheruvu, Sahebnagar, Hayathnagar,Rangareddy District",2.6,8.22,603,5,2.2,18,56,56,0.68,380,25
2023,January,Telangana,Rangareddy,154,4701,"Lingam Kunta, Chandanagar (V), Serlingampally(M), Ranga Reddy (D).",0.3,8.38,1173,8,3.1,17,168,79,1.16,728,25
2023,January,Telangana,Rangareddy,155,4702,"Pedda Cheruvu, Khajaguda (V), Serlingampally(M), Ranga Reddy District",Nil,8.35,1572,34,NA,95.4,192,124,BDL,852,25
2023,January,Telangana,Rangareddy,157,4704,"PeddaCheruvu, Mansoorabad (V),  Saroornagar(M), Rangareddy (D)",0.3,7.82,762,8,2.5,20,86,87,1.02,464,25
2023,January,Telangana,Medchal Malkajgiri,158,4705,"Kotta Cheruvu, Alwal (V & M),Medchal-Malkajgiri (D)",0.3,7.88,1780,14,2.8,6.8,201,148,2.94,1104,25
2023,January,Telangana,Hyderabad,160,5030,"Naya Qilla Talab, Golkonda (V&M), Hyderabad (D)",1.4,8.3,1188,5.4,3.2,18,162,59,1.4,760,25
2023,January,Telangana,Hyderabad,162,5032,"Kotha Cheruvu, Shaikpet(V&M), Hyderabad (D)",0.3,7.08,1551,12,3.8,34,204,138,2.02,946,25
2023,January,Telangana,Hyderabad,163,5033,"Shahatam Cheruvu, Shaikpet(V&M), Hyderabad (D)",0.3,7.14,1359,10,2.6,29,159,106,1.28,842,25
2023,January,Telangana,Medchal Malkajgiri,166,5036,"Ramanna cheruvu, Boinpally(V), Tirumalagiri(M), Hyderabad (D)",0.3,8.1,1045,10,3.4,15,142,107,0.84,638,25
2023,January,Telangana,Medchal Malkajgiri,167,5037,"Tirumalagiri Tank, Tirumalagiri(V & M), Hyderabad (D)",0.3,7.68,1519,10,4.5,13,164,140,2.24,912,25
2023,January,Telangana,Hyderabad,169,5039,"DMRL  Lake, Kanchanbagh, Chandrayanguda (M), Hyderabad (D)",0.3,7.32,1404,8,2.72,28,190,86,1.84,856,25
2023,January,Telangana,Medchal Malkajgiri,170,5040,"Bandlaguda Cheruvu, Nagole (V), Uppal (M), Medchal (D)",0.3,7.84,1276,18,3.6,25,142,270,2.56,780,25
2023,January,Telangana,Medchal Malkajgiri,171,5041,"Pathulguda Cheruvu, Pathulguda (V), Saroornagar (M), Rangareddy (D)",0.3,8.59,1186,10,3.8,7.2,164,122,1.36,724,25
2023,January,Telangana,Medchal Malkajgiri,172,5042,"Yellamma Cheruvu,Kukatpally(V&M),  Medchal Malkajgiri(D)",0.3,7.19,1559,10,3.3,24,167,135,1.58,950,25
2023,January,Telangana,Medchal Malkajgiri,173,5043,"Mysamma Cheruvu, Kukatpally(V&M),  Medchal Malkajgiri(D)",0.3,7.21,1432,8,3.2,11,189,83,3.02,886,25
2023,January,Telangana,Medchal Malkajgiri,174,5044,"Sudalavani Kunta (Sunnam Cheruvu), Allahpur(V), Borabanda(M),Medchal Malkajgiri(D)",0.3,8.12,1515,10,3.8,11,167,109,1.74,954,25
2023,January,Telangana,Medchal Malkajgiri,175,5045,"Mothkula Kunta, MachaBollaram(V),Alwal (M), Medchal Malkajgiri(D)",0.3,8.05,1826,12,3.4,24,191,156,1.28,1150,25
2023,January,Telangana,Medchal Malkajgiri,176,5046,"Chintal Cheruvu, Gajularamaram(V), Quthbullapur(M), Medchal Malkajgiri(D)",3.2,7.77,606,4,2,4,61,36,0.72,370,25
2023,January,Telangana,Medchal Malkajgiri,177,5047,"Mahaboob kunta , Suraram(V), Quthbullapur(M), Medchal Malkajgiri(D)",0.3,7.83,731,8,2.6,12,88,79,1.08,446,25
2023,January,Telangana,Medchal Malkajgiri,179,5049,"Meddela Kunta, Gajularamaram(V), Quthbullapur(M), Medchal Malkajgiri(D)",2.2,7.07,960,5,2.7,8,120,48,0.88,586,25
2023,January,Telangana,Medchal Malkajgiri,180,5050,"Venna Cheruvu, Jeedimetla(V), Quthbullapur(M), Medchal Malkajgiri(D)",2.5,7.82,1441,5.4,3.4,9,152,52,2.78,906,25
2023,January,Telangana,Medchal Malkajgiri,181,5051,"Chinna Bandham, Suraram(V), Quthbullapur(M), Medchal Malkajgiri(D)",0.3,8.05,1195,6.2,2,5,152,76,1.96,752,25
2023,January,Telangana,Medchal Malkajgiri,182,5052,"Bakshi Kunta, Chandanagar(V), Sherilingampally(M), Ranga Reddy(D)",0.3,7.85,852,8,2.9,19,120,79,1.74,526,25
2023,January,Telangana,Medchal Malkajgiri,183,5053,"Ramamma Kunta , Gachibowli (V), Sherilingampally(M), Ranga Reddy (D)",5.2,8.17,911,2,3.2,2,115,16,1.12,556,25
2023,January,Telangana,Medchal Malkajgiri,185,5055,"Chinna Pedda cheruvu, Gopanpally(V), Sherilingampally(M), Ranga Reddy(D)",5.2,8.61,584,2,2,1,108,16,0.49,362,25
2023,January,Telangana,Medchal Malkajgiri,186,5056,"Nayanamma Kunta (Baspalli Cheruvu), Hafeezpet (V), Sherilingampally (M), Ranga Reddy (D)",0.3,7.8,838,7,2.96,11.9,88,64,0.71,502,25
2023,January,Telangana,Medchal Malkajgiri,187,5057,"Kudi Kunta (Gauthami Lake), Kondapur(V), Sherilingampally(M), Ranga Reddy(D)",0.3,8.18,1461,14,4,21,164,210,0.9,906,25
2023,January,Telangana,Medchal Malkajgiri,188,5058,"Regula Kunta, Miyapur (V), Sherilingampally (M), Ranga Reddy (D)",0.3,8.15,787,12,2.6,1,93,135,0.74,482,25
2023,January,Telangana,Medchal Malkajgiri,189,5059,"Gopi Cheruvu, Lingampally(V), Sherilingampally(M), Ranga Reddy(D)",0.3,8.17,1325,10,3.8,9,157,107,1.92,822,25
2023,January,Telangana,Medchal Malkajgiri,190,5060,"Chakalavani Cheruvu , Lingampally(V), Sherilingampally(M), Ranga Reddy(D)",0.3,7.97,1275,12,3.6,13,154,147,1.42,778,25
2023,January,Telangana,Medchal Malkajgiri,191,5061,"Peddakudi Cheruvu, Maqta Mahboobpet(V), Sherilingampally(M), Ranga Reddy(D)",0.3,7.68,994,16,3.1,21,115,191,2.08,606,25
2023,January,Telangana,Medchal Malkajgiri,192,5062,"Gurunath Cheruvu, Miyapur (V), Sherilingampally(M), Ranga Reddy (D)",0.3,7.72,898,8,2.9,11,113,99,0.94,556,25
2023,January,Telangana,Medchal Malkajgiri,193,5063,"Nanakram Kunta, Nanakramguda(V), Sherilingampally(M), Ranga Reddy (D)",0.3,7.77,1344,6.4,3.9,8,176,60,2.28,818,25
2023,January,Telangana,Medchal Malkajgiri,194,5111,"Nagiraddy Kunta(Yapral Cheruvu), Alwal (V&M),   Medchal- Malkajgiri(D)",0.3,7.85,1734,12,4.6,12,280,124,3.24,1092,25
2023,January,Telangana,Medchal Malkajgiri,195,5112,"Kamuni Cheruvu, Moosapet (V), Kukatpally (M),Medchal- Malkajgiri (D)",0.3,7.78,1544,14,4.2,11.5,233,152,2.48,942,25
2023,January,Telangana,Medchal Malkajgiri,196,5113,"Chinna Cheruvu, Ramanthapur (V), Uppal (M),Medchal- Malkajgiri (D)",0.3,7.54,924,12,3.6,24,102,127,1.56,554,25
2023,January,Telangana,Rangareddy,199,5116,"Kotha Cheruvu (Novatel Lake), Khanamet (V), Serilingampally (M), Rangareddy(D)",1.4,8.01,1255,5.8,3.6,17.6,167,60,2.78,778,25
2023,January,Telangana,Rangareddy,202,5119,"Kaidamma Kunta, Hafeezpet (V), Serilingampally (M), Rangareddy (D)",0.3,8.29,1578,32,4.2,22,191,409,2.28,994,25
2023,January,Telangana,Rangareddy,203,5120,"Thammidi Kunta, Khanapet (V), Serlingampally (M), Rangareddy (D)",0.8,8.17,1267,5.8,3.6,26,149,52,2.38,786,25
2023,January,Telangana,Rangareddy,204,5121,"Pale Cheruvu,  Katedhan (V),  Rajendranagar (M),  Rangareddy (D)",0.3,8.18,1509,14,3.8,25,172,155,2.2,936,25
2023,January,Telangana,Rangareddy,205,5122,"Mulaguard Lake, Katedan, Rajendranagar, Rangareddy District",0.3,7.96,2543,12,5.8,6,322,148,3.84,1602,25
2023,January,Telangana,Rangareddy,209,5126,"Bathula Kunta,  Anmagal (V),  Hayathnagar (M),  Rangareddy (D)",0.3,8.18,1490,12,3.8,19,232,138,2.42,908,25
2023,January,Telangana,Rangareddy,210,5127,"Kummari Kunta,  Anmagal (V),  Hayathnagar (M),  Rangareddy (D)",0.3,8.01,1527,16,3.6,22,180,167,2.12,916,25
2023,January,Telangana,Rangareddy,211,5128,"Palle Cheruvu,  Mailardev Pally (V),  Rajendranagar (M),  Rangareddy (D)",0.3,7.68,1639,6.2,4.2,9.2,243,56,2.52,996,25
2023,January,Telangana,Rangareddy,212,5129,"Erra Kunta,  Laxmiguda (V),  Rajendranagar (M),  Rangareddy (D)",0.3,7.93,1867,18,4.8,23,284,206,2.59,1158,25
2023,January,Telangana,Rangareddy,213,5130,"Pathi Kunta,  Budvel (V),  Rajendranagar (M),  Rangareddy (D)",2.6,8.23,865,5.2,3.2,5.2,96,48,0.94,528,25
2023,January,Telangana,Rangareddy,214,5131,"Yellamma Cheruvu,  Manikonda (V),  Rajendra Nagar (M),  Rangareddy (D)",0.3,8.09,1514,7.8,4.4,11,189,72,1.72,924,25
2023,January,Telangana,Rangareddy,215,5132,"Malka Cheruvu,  Raidurg (V),  Serlingampally (M),  Rangareddy (D)",4.6,9.04,1258,32,NA,92.3,188,132,BDL,745,25
2023,January,Telangana,Rangareddy,216,5133,"Chandana cheruvu,  Jillelaguda (V),   Rangareddy (D)",0.3,8.4,1375,10,3.8,11,189,127,1.56,866,25
2023,January,Telangana,Rangareddy,217,5134,"Manthrala cheruvu,  Meerpet (V),  Rangareddy (D)",0.3,8.17,1221,10,2.9,17,162,119,1.4,744,25
2023,February,Telangana,Shamshabad,57,1172,"Osmansagar Reservior (U/s of Musi at Gandipet), Gandipet (V&M), Rangareddy Dist",4.9,7.93,487,2.5,2,2,62,27,0.4,292,25
2023,February,Telangana,Warangal Rural,58,1215,"Thummala cheruvu,  Nasampet (V&M), Warangal",4.8,7.75,318,2.6,1.6,4.6,38,27,0.4,186,25
2023,February,Telangana,Sangareddy,59,1780,"Gandigudem Tank, Gandigudem(V),Ameenpur(M), Sangareddy(D)",6.8,8.04,1782,6.5,32,9.2,263,68,BDL,1106,25
2023,February,Telangana,Sangareddy,61,2347,"Asani Kunta,Bollaram(V),Jinnaram(M), Sangareddy(D)",NIL,7.57,3910,44,38,42,1104,488,BDL,2690,25
2023,February,Telangana,Sangareddy,62,1783,"Kistareddypet Tank, Kistareddypet(V),Ameenpur(M),Sangareddy(D)",5.8,7.58,1400,7,25,8,220,76,BDL,902,25
2023,February,Telangana,Sangareddy,63,2348,"Khazipally Tank,Khazipally(V), Jinnaram(M), Sangareddy(D) Sangareddy",6.8,6.29,1750,12,43,11,268,128,BDL,1150,25
2023,February,Telangana,Sangareddy,64,4243,"Isnapur Tank,Pashamylaram(V), Patancheru (M), Sangareddy District",6.8,7.42,3010,8,38,10.2,431,88,BDL,1680,25
2023,February,Telangana,Sangareddy,65,4302,"Rudraram Tank, Rudraram (V), Patancheru (M), Sangareddy District",7.2,6.88,2043,9,25,10,283,94,BDL,1220,25
2023,February,Telangana,Sangareddy,66,4240,"Muthangi Tank (V), Patancheru (M),Sangareddy district",7.6,7.14,1202,5,24,6.9,196,52,BDL,790,25
2023,February,Telangana,Sangareddy,67,4241,"Chitkul Tank,Chitkul (V), Patancheru (M), Sangareddy District",6,7.64,1656,4.5,29,5.6,268,48,BDL,990,25
2023,February,Telangana,Sangareddy,68,4242,"Lakadaram Cheruvu, Lakdaram (V), Patancheru (M),Sangareddy District.",7.2,7.92,1658,5.9,24,7,249,60,BDL,998,25
2023,February,Telangana,RR-shamshabad,70,1789,"Himayathsagar lake, Shamshabad",5.2,8.28,584,3.2,2.2,2,74,39,0.4,352,25
2023,February,Telangana,Medchal Malkajgiri,71,3069,"Shameerpet Tank, Shameerpet(V&M), Medchal- malkajigiri(D)",4.6,8.34,650,3,2.4,4,105,27,0.72,384,25
